Metric,Value
FLOPs,203.22 MMac
Parameters,2.83 M
Model Size (MB),10.984619140625
Training Losses
,3.8947437276894394
,3.778514144772833
,3.6940006200562823
,3.629952162504196
,3.5774461538954214
,3.531618561934341
,3.478761678392237
,3.419229406524788
,3.356326890940016
,3.2927947369488804
,3.2341415109959515
,3.1634840111840856
,3.0836575336076995
,3.006073033945127
,2.923458007248965
,2.838268095119433
,2.764453323727304
,2.6798292181708594
,2.5929687815633686
,2.523777927187356
,2.4453541365536777
,2.3663164600729942
,2.2945555722848936
,2.2235277989371256
,2.15311495621096
,2.0812685797837647
,2.018710547550158
,1.947555344213139
,1.8858116699213332
,1.8144107891077346
,1.7562623176385055
,1.6956325620412827
,1.6317291503602809
,1.5843959443948485
,1.5229049260643395
,1.4676898416470399
,1.421463457359509
,1.3612952113828876
,1.3159151686863466
,1.261213931678371
,1.2176925121721895
,1.168431891636415
,1.1214820871298963
,1.0769147916950963
,1.0310234606943347
,0.992398158901117
,0.952376167205247
,0.916649657216939
,0.8783046814867042
,0.8306632450866428
,0.8021763004362583
,0.7656059175391089
,0.7287794263525442
,0.6897598339922049
,0.6562102310020815
,0.6296588539738547
,0.5885226342996414
,0.5768488168885763
,0.5608400731262836
,0.5178445689380169
,0.502816659906371
,0.48385972673581407
,0.45732000038366427
,0.44315152970904653
,0.4189012009142475
,0.401400368491357
,0.38352857365018944
,0.3718611716970124
,0.3540062649937516
,0.33498012520034204
,0.32725048336115753
,0.32684445152567193
,0.32665668677707965
,0.2895173362286931
,0.2675570790571245
,0.27323047315109183
,0.2886336897923188
,0.2666696526999162
,0.2679668554231863
,0.2761782124765556
,0.25719928347759624
,0.23315205185843463
,0.200975644254041
,0.22075840513306585
,0.24426330475729296
,0.23978724438612434
,0.22551671153103764
,0.21808198659511452
,0.1867380115330558
,0.19569465818560935
,0.17217093862762506
,0.18297618523832748
,0.1949171924074604
,0.2129616143224253
,0.2212097211740911
,0.2015747655691071
,0.20518142078071833
,0.21948645371859046
,0.20367643484761092
,0.18921355989930982
Validation Losses
,3.8359088718891146
,3.7426808416843413
,3.6816955626010897
,3.638755142688751
,3.5596633315086366
,3.538269317150116
,3.4786487579345704
,3.4523222863674166
,3.3672503411769865
,3.298142510652542
,3.2259229183197022
,3.1684848010540008
,3.133858120441437
,3.0355825185775758
,2.9633494079113007
,2.9356193244457245
,2.8360936284065246
,2.7339288175106047
,2.7664514780044556
,2.607359254360199
,2.681042158603668
,2.520732432603836
,2.4383457243442535
,2.4077569097280502
,2.3293541073799133
,2.3755184948444366
,2.252391991019249
,2.218687951564789
,2.0991614520549775
,2.263251942396164
,2.0718458354473115
,2.0549431055784226
,2.101814493536949
,2.062555545568466
,2.016928678750992
,2.0029747545719148
,2.305239361524582
,2.2353377431631087
,1.882266917824745
,1.9448849231004715
,2.029701220989227
,1.8813134849071502
,1.9663928955793382
,2.028538480401039
,1.9183075428009033
,1.918927374482155
,1.9903297752141953
,2.035417175292969
,1.9667540550231934
,2.2054612427949905
,2.1400491148233414
,2.0252207934856417
,2.3364117562770845
,2.2949573308229447
,1.9638056069612504
,1.9382179766893386
,2.1594016551971436
,1.895762899518013
,2.130669414997101
,2.164876201748848
,2.2131992518901824
,2.2613702416419983
,2.5101360470056533
,2.158046078681946
,2.126767006516457
,2.2034730464220047
,2.1409402549266816
,2.1675301283597945
,2.1766786158084868
,2.238127511739731
,2.2848339468240737
,2.4291126877069473
,2.216442507505417
,2.132527893781662
,2.1565089240670203
,2.24646175801754
,2.109717273712158
,2.4848740458488465
,2.314612698554993
,2.210322892665863
